entity:taxon_id	actual_taxa	cholgen	read1	read2	run	te	vibecheck_reads_classification_notes	vibecheck_reads_confidence	vibecheck_reads_lineage
VB0016	Africa|MWI|MW_NGSRL_184_23CHOL|T15|2022-11-01	true	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_184_23CHOL.R1.fastq.gz	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_184_23CHOL.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0017	Africa|MWI|MW_NGSRL_82_23CHOL|T15|2022-04-01	true	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_82_23CHOL.R1.fastq.gz	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_82_23CHOL.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0018	Africa|MWI|MW_NGSRL_802_23|T15|2022-05-01	true	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_802_23.R1.fastq.gz	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_802_23.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0019	Africa|MWI|MW_NGSRL_634_238|T15|2023-06-01	true	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_634_238.R1.fastq.gz	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_634_238.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0020	Africa|MWI|MW_NGSRL_648_222|T15|2022-12-01	true	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_648_222.R1.fastq.gz	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_648_222.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0021	Africa|MOZ|MOZ_PNV00877233|T15|2023-11-01	true	gs://cholgen-data/mozambique/regional-analysis-2024/MOZ_PNV00877233.R1.fastq.gz	gs://cholgen-data/mozambique/regional-analysis-2024/MOZ_PNV00877233.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0022	Africa|MOZ|MOZ-5393|T15|?	true	gs://cholgen-data/mozambique/regional-analysis-2024/MOZ-5693_S8_R1_001.fastq.gz	gs://cholgen-data/mozambique/regional-analysis-2024/MOZ-5693_S8_R2_001.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0023	Africa|MOZ|MOZ-9954|T15|?	true	gs://cholgen-data/mozambique/regional-analysis-2024/MOZ-9954_1.clean.fastq.gz	gs://cholgen-data/mozambique/regional-analysis-2024/MOZ-9954_2.clean.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0024	Africa|NGA|NG_CHL-21-024|T12|2021-04-01	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG_CHL-21-024_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG_CHL-21-024_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0025	Africa|NGA|NG_NRL-CHL-21-027|T12|2021-04-27	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-21-027_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-21-027_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0026	Africa|NGA|NG_NRL-CHL-21-063|T12|2021-05-22	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-21-063_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-21-063_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0027	Africa|NGA|NG_NRL-CHL-22-057|T12|2022-03-09	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-057_1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-057_2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0028	Africa|NGA|NG_NRL-CHL-22-060|T12|2022-03-09	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-060_1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-060_2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0029	Africa|NGA|NG_NRL-CHL-22-191|T12|2022-08-08	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-191_1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-191_2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0030	Africa|NGA|NG_NRL-CHL-22-236|T12|2022-09-09	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-236_1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-236_2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0031	Africa|NGA|NG_NRL-CHL-22-280|T12|2022-09-08	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-280_1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG_NRL-CHL-22-280_2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0032	Africa|UGA|OUG-1309|T13|2019-06-21	true	gs://cholgen-data/uganda/regional-analysis-2024/OUG-1309_1.clean.fastq.gz	gs://cholgen-data/uganda/regional-analysis-2024/OUG-1309_2.clean.fastq.gz		T13	Freyja results: T13(100.0%)	1	T13
VB0033	Africa|UGA|UG_20-2919|T13|2020-06-15	true	gs://cholgen-data/uganda/regional-analysis-2024/UG_20-2919.R1.fastq.gz	gs://cholgen-data/uganda/regional-analysis-2024/UG_20-2919.R2.fastq.gz		T13	Freyja results: T13(100.0%)	1	T13
VB0034	Africa|UGA|UG_20-34250|T13|2020-08-12	true	gs://cholgen-data/uganda/regional-analysis-2024/UG_20-34250.R1.fastq.gz	gs://cholgen-data/uganda/regional-analysis-2024/UG_20-34250.R2.fastq.gz		T13	Freyja results: T13(100.0%)	1	T13
VB0035	Africa|DRC|C-KES-21-0086|T10|2021-11-29	true	gs://cholgen-data/drc/regional-analysis-2024/C-KES-21-0086_S39_R1_001.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/C-KES-21-0086_S39_R2_001.fastq.gz		T10			
VB0036	Africa|DRC|C-10328|T10|2022-11-04	true	gs://cholgen-data/drc/regional-analysis-2024/C-10328_S8_R1_001.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/C-10328_S8_R2_001.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0037	Africa|DRC|C-10493|T10|2022-11-29	true	gs://cholgen-data/drc/regional-analysis-2024/C-10493_S13_R1_001.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/C-10493_S13_R2_001.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0038	Africa|DRC|C-22139|T10|2023-09-12	true	gs://cholgen-data/drc/regional-analysis-2024/C-22139_S50_R1_001.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/C-22139_S50_R2_001.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0039	Africa|DRC|C-21934|T10|2023-08-15	true	gs://cholgen-data/drc/regional-analysis-2024/C-21934_S45_R1_001.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/C-21934_S45_R2_001.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0040	Africa|DRC|RDC-023HLO-349|T10|2024-02-03	true	gs://cholgen-data/drc/regional-analysis-2024/RDC-023HLO349_S14_L001_R1_001.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/RDC-023HLO349_S14_L001_R2_001.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0041	Africa|DRC|RDC-023HLO-354-MAL23-361|T10|2024-02-03	true	gs://cholgen-data/drc/regional-analysis-2024/RDC-023HLO-MAL23-361_S16_L001_R1_001.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/RDC-023HLO-MAL23-361_S16_L001_R2_001.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0042	Africa|NGA|NG-NRL-CHL-24-054|T12|2024-06-12	true	gs://cholgen-data/nigeria/regional-analysis-2024/CHL-24-0054_S8_L001_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/CHL-24-0054_S8_L001_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0043	Africa|NGA|NG-NRL-CHL-18-185|T12|2018-08-30	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-18-185_S14_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-18-185_S14_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0044	Africa|NGA|NG-NRL-CHL-18-200|T12|2018-08-30	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-18-200_S2_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-18-200_S2_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0045	Africa|NGA|NG-NRL-CHL-18-281|T12|2018-10-24	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-18-281_S21_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-18-281_S21_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0046	Africa|NGA|NG-NRL-CHL-19-001|T12|2019-03-29	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-19-001_S18_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-19-001_S18_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0047	Africa|NGA|NG-NRL-CHL-19-028|T12|2019-06-24	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-19-028_S8_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-19-028_S8_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0048	Africa|NGA|NG-NRL-CHL-19-045|T12|2019-06-29	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-19-045_S10_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-19-045_S10_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0049	Africa|NGA|NG-NRL-CHL-19-378|T12|2019-10-01	true	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-19-378_S26_R1.fastq.gz	gs://cholgen-data/nigeria/regional-analysis-2024/NG-NRL-CHL-19-378_S26_R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0050	Africa|ZMB|CHS3580|T15|2023-12-02	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3580_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3580_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0051	Africa|ZMB|CHS3588|T15|2024-01-09	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3588_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3588_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0052	Africa|ZMB|CHS3596|T15|2023-12-24	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3596_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3596_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0053	Africa|ZMB|CHS3600|T15|2024-01-09	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3600_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3600_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0054	Africa|ZMB|CHS3612|T15|2024-01-09	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3612_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3612_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0055	Africa|ZMB|CHS3615|T15|2024-01-03	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3615_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3615_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0056	Africa|ZMB|CHS3623|T15|2024-01-06	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3623_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3623_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0057	Africa|ZMB|CHS3630|T15|2023-11-30	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3630_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3630_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0058	Africa|ZMB|CHS3637|T15|2024-01-07	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3637_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3637_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0059	Africa|ZMB|CHS3639|T15|2024-01-04	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3639_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3639_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0060	Africa|ZMB|CHS3692|T15|2024-01-09	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3692_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3692_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0061	Africa|ZMB|CHS3705|T15|2024-01-24	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3705_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3705_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0062	Africa|ZMB|CHS3720|T10|2024-01-06	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3720_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3720_R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0063	Africa|ZMB|CHS3744|T15|2024-01-24	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3744_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3744_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0064	Africa|ZMB|CHS3757|T10|2024-01-24	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3757_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3757_R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0065	Africa|ZMB|CHS3759|T10|2024-01-04	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3759_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3759_R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0066	Africa|ZMB|CHS3760|T10|2024-01-24	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3760_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3760_R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0067	Africa|ZMB|CHS3790|T10|2024-02-06	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3790_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3790_R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0068	Africa|ZMB|CHS3857|T10|2024-01-31	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3857_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3857_R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0069	Africa|ZMB|CHS3874|T15|2024-01-24	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3874_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3874_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0070	Africa|ZMB|CHS3879|T15|2024-02-04	true	gs://cholgen-data/zambia/regional-analysis-2024/CHS3879_R1.fastq.gz	gs://cholgen-data/zambia/regional-analysis-2024/CHS3879_R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0071	Africa|CMR|CEN005NA|T12|2023-04-12	true	gs://cholgen-data/cameroon/regional-analysis-2024/CMR_CEN005NA35.R1.fastq.gz	gs://cholgen-data/cameroon/regional-analysis-2024/CMR_CEN005NA35.R2.fastq.gz		T12	Freyja results: T12(100.0%)	1	T12
VB0072	Africa|KEN|KEN-2008-002|T10|2008-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/4ecb8a78-5d30-409f-96d9-4e1debe80965/call-fastq_dl_sra/SRR28466912_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/4ecb8a78-5d30-409f-96d9-4e1debe80965/call-fastq_dl_sra/SRR28466912_2.fastq.gz	SRR28466912	T10			
VB0073	Africa|KEN|KEN-2009-017|sporadic|2009-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/9572abfd-8db1-4605-8132-83615f25fb47/call-fastq_dl_sra/SRR28466904_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/9572abfd-8db1-4605-8132-83615f25fb47/call-fastq_dl_sra/SRR28466904_2.fastq.gz	SRR28466904	T17	Freyja results: T12(100.0%)	1	T12
VB0074	Africa|KEN|KEN-2009-046|T10|2009-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/b9f37398-f6d9-488d-bffe-2a678c601b48/call-fastq_dl_sra/SRR28466934_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/b9f37398-f6d9-488d-bffe-2a678c601b48/call-fastq_dl_sra/SRR28466934_2.fastq.gz	SRR28466934	T10	Freyja results: T10(100.0%)	1	T10
VB0075	Africa|KEN|KEN-2011-002|T13|2011-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/5b46c5cc-7614-4709-be39-7d2f5f7bcacb/call-fastq_dl_sra/SRR28466982_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/5b46c5cc-7614-4709-be39-7d2f5f7bcacb/call-fastq_dl_sra/SRR28466982_2.fastq.gz	SRR28466982	T13			
VB0076	Africa|KEN|KEN-2015-033|T13|2015-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/7a1ed056-7646-4d91-83f7-a7a34e7acd6a/call-fastq_dl_sra/SRR28466906_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/7a1ed056-7646-4d91-83f7-a7a34e7acd6a/call-fastq_dl_sra/SRR28466906_2.fastq.gz	SRR28466906	T13	Freyja results: T13(100.0%)	1	T13
VB0077	Africa|KEN|KEN-2019-064|T13|2019-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/c1e63f03-bf41-49c0-99b0-2c3b25850c28/call-fastq_dl_sra/SRR28466905_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/c1e63f03-bf41-49c0-99b0-2c3b25850c28/call-fastq_dl_sra/SRR28466905_2.fastq.gz	SRR28466905	T13	Freyja results: T13(100.0%)	1	T13
VB0078	Asia|IND|ERR351191|UNK|2009-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/4c3f7c18-c38e-489c-8599-844ba09522ef/call-fastq_dl_sra/ERR351191_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/4c3f7c18-c38e-489c-8599-844ba09522ef/call-fastq_dl_sra/ERR351191_2.fastq.gz	ERR351191	UNK	Freyja results: T12(100.0%)	1	T12
VB0079	Africa|UGA|SAMN08744326|T10|2015-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/54c05e3a-d75a-434a-bbc0-cd6865a193f8/call-fastq_dl_sra/SRR6871253_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/54c05e3a-d75a-434a-bbc0-cd6865a193f8/call-fastq_dl_sra/SRR6871253_2.fastq.gz	SRR6871253	T10	Freyja results: T10(100.0%)	1	T10
VB0080	Africa|MWI|SRS17567770|T15|2023-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/ede7e1a6-7c40-4fec-b3b0-b72976a76492/call-fastq_dl_sra/SRR24446277_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/ede7e1a6-7c40-4fec-b3b0-b72976a76492/call-fastq_dl_sra/SRR24446277_2.fastq.gz	SRR24446277	T15	Freyja results: T15(100.0%)	1	T15
VB0081	Africa|MWI|SRS17567786|T15|2023-01-01	false	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/c4ee3714-8568-4c97-ad1e-87da4deb3b00/call-fastq_dl_sra/SRR24446260_1.fastq.gz	gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/c4ee3714-8568-4c97-ad1e-87da4deb3b00/call-fastq_dl_sra/SRR24446260_2.fastq.gz	SRR24446260	T15	Freyja results: T15(100.0%)	1	T15
